164,2,352.02,128.44,86.70,89.20,1,821
165,2,356.24,131.82,85.74,87.81,1,826
168,8,371.31,143.72,63.36,64.86,1,841
169,8,371.36,144.05,64.21,65.56,1,846
170,8,373.44,145.48,63.16,65.27,1,851
171,8,373.49,146.55,62.04,64.68,1,856
172,8,365.98,141.52,73.89,77.32,1,861
173,8,367.36,142.63,79.42,82.07,1,866
174,8,366.72,140.85,82.40,85.46,1,871
175,8,365.52,136.19,84.72,88.62,1,876
176,8,365.31,134.14,85.72,89.70,1,881
180,9,724.58,335.09,117.17,133.42,1,901
180,8,363.26,130.41,86.02,90.70,1,901
181,9,725.98,330.32,119.77,134.28,1,906
181,8,361.07,126.55,86.23,90.76,1,906
182,9,728.50,324.63,122.09,135.14,1,911
182,8,347.02,133.01,89.13,94.63,1,911
183,9,727.26,321.15,123.21,136.05,1,916
183,8,337.28,144.67,88.61,96.69,1,916
184,9,719.05,310.03,122.20,132.13,1,921
184,8,328.17,158.58,90.85,98.74,1,921
185,9,702.16,306.57,125.57,130.72,1,926
185,8,319.31,171.93,94.84,101.55,1,926
186,9,692.74,306.81,124.57,127.66,1,931
186,8,306.84,183.04,93.14,98.81,1,931
187,9,689.19,305.01,126.60,128.04,1,936
187,8,292.82,191.41,93.01,97.67,1,936
188,9,696.10,303.13,130.55,130.28,1,941
188,8,287.13,194.90,95.31,99.57,1,941
189,9,708.57,305.32,127.10,128.31,1,946
189,8,274.92,195.37,95.69,99.07,1,946
190,9,724.43,305.35,123.42,126.78,1,951
190,8,280.28,207.60,97.11,99.30,1,951
191,9,738.01,307.52,115.39,123.43,1,956
191,8,280.40,221.16,97.22,98.24,1,956
192,8,280.66,226.02,98.43,98.06,1,961
193,8,281.63,230.34,98.72,97.88,1,966
194,8,280.30,233.14,99.18,97.74,1,971
195,8,278.98,233.59,99.22,97.90,1,976
196,8,270.46,236.19,99.80,98.00,1,981
197,8,261.08,237.21,98.79,98.30,1,986
198,9,746.57,337.90,106.10,123.14,1,991
198,8,255.57,236.47,98.62,99.07,1,991
199,9,748.11,336.31,104.39,121.05,1,996
199,8,256.37,237.42,97.61,97.93,1,996
200,9,750.49,332.45,102.67,120.19,1,1001
200,8,264.45,236.47,96.30,95.95,1,1001
201,8,277.57,235.98,96.16,95.90,1,1006
202,8,301.66,231.26,95.24,96.92,1,1011
203,8,327.22,225.08,95.38,97.42,1,1016
204,8,361.69,215.96,98.66,99.93,1,1021
205,8,377.38,206.62,98.98,100.18,1,1026
206,8,381.21,199.86,100.30,99.50,1,1031
207,8,375.39,193.81,99.89,100.37,1,1036
208,8,351.79,204.64,98.99,99.34,1,1041
209,8,335.30,216.99,97.76,98.84,1,1046
210,8,328.15,226.09,94.34,98.96,1,1051
211,8,313.43,239.43,95.48,99.41,1,1056
212,8,306.81,245.01,96.02,99.71,1,1061
213,8,303.95,251.20,95.04,97.38,1,1066
214,8,300.04,260.95,94.55,96.53,1,1071
215,8,297.37,275.95,96.20,98.19,1,1076
220,9,612.55,349.11,127.77,120.24,1,1101
221,9,578.46,325.17,122.08,120.54,1,1106
222,9,517.81,321.20,118.99,119.68,1,1111
223,9,463.49,340.14,112.50,117.93,1,1116
225,8,299.62,295.99,94.42,99.55,1,1126
226,8,297.79,296.33,96.46,101.29,1,1131
227,8,294.97,296.32,96.96,102.68,1,1136
235,8,418.12,240.80,100.02,97.41,1,1176
236,8,458.69,225.38,97.56,96.64,1,1181
237,8,488.42,218.88,101.22,99.19,1,1186
238,8,530.72,226.35,103.78,101.49,1,1191
239,10,530.38,300.04,121.46,137.85,1,1196
239,8,571.90,233.27,105.77,105.55,1,1196
240,10,630.51,321.68,118.28,132.54,1,1201
240,8,625.73,230.73,104.77,106.48,1,1201
241,10,703.42,271.51,109.33,123.20,1,1206
242,10,753.09,253.05,105.98,119.73,1,1211
